Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE
People,Sex and Age,45 to 54 years,92602,(+/- 1661 ),91476,(+/- 1967 ),94498,(+/- 2034 ),96159,(+/- 2284 ),107706,(+/- 3190 ),97554,(+/- 1578 ),93470,(+/- 2619 ),92995,(+/- 1747 ),97809,(+/- 1871 )
People,Sex and Age,55 to 59 years,51745,(+/- 2457 ),47714,(+/- 2167 ),50100,(+/- 2234 ),50762,(+/- 2124 ),50430,(+/- 3158 ),50047,(+/- 2485 ),47563,(+/- 2529 ),52196,(+/- 2813 ),49249,(+/- 2932 )
People,Sex and Age,60 to 64 years,46113,(+/- 2594 ),48113,(+/- 2574 ),45893,(+/- 2037 ),43860,(+/- 2182 ),44830,(+/- 2842 ),47843,(+/- 2619 ),41442,(+/- 2874 ),48342,(+/- 2768 ),48027,(+/- 2739 )
People,Sex and Age,65 to 74 years,64512,(+/- 1050 ),63351,(+/- 1337 ),64944,(+/- 997 ),64565,(+/- 1351 ),64450,(+/- 2679 ),70816,(+/- 836 ),49030,(+/- 1787 ),69798,(+/- 1121 ),67771,(+/- 1202 )
People,Sex and Age,75 to 84 years,32727,(+/- 1585 ),31119,(+/- 1825 ),31424,(+/- 1305 ),32725,(+/- 2000 ),31144,(+/- 1806 ),37086,(+/- 1500 ),24182,(+/- 1473 ),35799,(+/- 1578 ),34193,(+/- 1512 )
People,Sex and Age,85 years and over,13440,(+/- 1293 ),17377,(+/- 1598 ),14333,(+/- 1275 ),13600,(+/- 1695 ),14590,(+/- 2096 ),14386,(+/- 1336 ),9826,(+/- 1366 ),14260,(+/- 1254 ),11891,(+/- 1428 )
People,Sex and Age,Median age (years),38.7,(+/- 0.4 ),38.0,(+/- 0.5 ),37.2,(+/- 0.3 ),36.6,(+/- 0.4 ),37.9,(+/- 0.5 ),40.1,(+/- 0.3 ),33.8,(+/- 0.4 ),39.4,(+/- 0.4 ),38.0,(+/- 0.4 )
People,Sex and Age,18 years and over,546227,(+/- 2569 ),543888,(+/- 3346 ),549382,(+/- 2448 ),577651,(+/- 4070 ),582176,(+/- 6118 ),561201,(+/- 2252 ),555612,(+/- 5384 ),553937,(+/- 2280 ),585446,(+/- 3401 )
People,Sex and Age,65 years and over,110679,(+/- 1469 ),111847,(+/- 1901 ),110701,(+/- 1151 ),110890,(+/- 2025 ),110184,(+/- 3306 ),122288,(+/- 1034 ),83038,(+/- 2578 ),119857,(+/- 1379 ),113855,(+/- 1489 )
People,Race,Total population,711958,(+/- 2757 ),724060,(+/- 3598 ),740262,(+/- 2628 ),749049,(+/- 4989 ),768412,(+/- 8156 ),720656,(+/- 2663 ),751554,(+/- 7835 ),717028,(+/- 2312 ),750074,(+/- 4283 )
People,Race,One race,690770,(+/- 3774 ),709303,(+/- 4186 ),720026,(+/- 4101 ),737272,(+/- 5297 ),745372,(+/- 8758 ),710708,(+/- 3099 ),726151,(+/- 9262 ),700586,(+/- 3532 ),734222,(+/- 4940 )
People,Race,White,495472,(+/- 5121 ),627056,(+/- 4776 ),649021,(+/- 4200 ),663509,(+/- 5615 ),651499,(+/- 8466 ),669635,(+/- 3622 ),437278,(+/- 8575 ),656813,(+/- 3146 ),686135,(+/- 4413 )
People,Race,Black or African American,133408,(+/- 1802 ),50456,(+/- 2344 ),46951,(+/- 3029 ),33629,(+/- 2897 ),56547,(+/- 5646 ),19415,(+/- 2127 ),230133,(+/- 6427 ),28035,(+/- 2227 ),19171,(+/- 1302 )
People,Race,American Indian and Alaska Native,1838,(+/- 624 ),4250,(+/- 1331 ),1144,(+/- 507 ),1678,(+/- 666 ),1296,(+/- 578 ),1533,(+/- 744 ),2733,(+/- 1570 ),1591,(+/- 529 ),1452,(+/- 761 )
People,Race,Asian,8590,(+/- 1147 ),9515,(+/- 1209 ),16307,(+/- 944 ),21510,(+/- 1415 ),24890,(+/- 2301 ),10318,(+/- 1435 ),23146,(+/- 2199 ),7661,(+/- 1006 ),19514,(+/- 1472 )
People,Race,Native Hawaiian and Other Pacific Islander,224,(+/- 220 ),646,(+/- 418 ),137,(+/- 110 ),406,(+/- 354 ),79,(+/- 101 ),486,(+/- 502 ),216,(+/- 177 ),1291,(+/- 1274 ),41,(+/- 83 )
People,Race,Some other race,51238,(+/- 4620 ),17380,(+/- 3607 ),6466,(+/- 1931 ),16540,(+/- 3191 ),11061,(+/- 3379 ),9321,(+/- 2272 ),32645,(+/- 5879 ),5195,(+/- 1748 ),7909,(+/- 1972 )
People,Race,Two or more races,21188,(+/- 2623 ),14757,(+/- 2513 ),20236,(+/- 2958 ),11777,(+/- 2730 ),23040,(+/- 3943 ),9948,(+/- 1637 ),25403,(+/- 4575 ),16442,(+/- 2471 ),15852,(+/- 2203 )
People,Hispanic or Latino and Race,Total population,711958,(+/- 2757 ),724060,(+/- 3598 ),740262,(+/- 2628 ),749049,(+/- 4989 ),768412,(+/- 8156 ),720656,(+/- 2663 ),751554,(+/- 7835 ),717028,(+/- 2312 ),750074,(+/- 4283 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),110886,(+/- 1158 ),68256,(+/- 1248 ),44371,(+/- 1135 ),45658,(+/- 853 ),38568,(+/- 4116 ),18326,(+/- 1086 ),79788,(+/- 4034 ),16789,(+/- 640 ),25437,(+/- 942 )
People,Hispanic or Latino and Race,Mexican,84415,(+/- 3241 ),57226,(+/- 2655 ),33391,(+/- 2746 ),33874,(+/- 2865 ),25784,(+/- 4554 ),13760,(+/- 1863 ),56291,(+/- 5472 ),11141,(+/- 1282 ),17968,(+/- 2601 )
People,Hispanic or Latino and Race,Puerto Rican,18520,(+/- 3148 ),2154,(+/- 930 ),2278,(+/- 1051 ),1606,(+/- 668 ),2055,(+/- 1011 ),486,(+/- 315 ),4383,(+/- 1764 ),953,(+/- 605 ),3025,(+/- 2150 )
People,Hispanic or Latino and Race,Cuban,724,(+/- 460 ),926,(+/- 628 ),647,(+/- 513 ),295,(+/- 390 ),1594,(+/- 1391 ),201,(+/- 200 ),1302,(+/- 1142 ),450,(+/- 302 ),88,(+/- 135 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,7227,(+/- 1906 ),7950,(+/- 2383 ),8055,(+/- 2393 ),9883,(+/- 2918 ),9135,(+/- 2393 ),3879,(+/- 1512 ),17812,(+/- 3550 ),4245,(+/- 1184 ),4356,(+/- 1691 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,601072,(+/- 2754 ),655804,(+/- 3686 ),695891,(+/- 2678 ),703391,(+/- 4976 ),729844,(+/- 7946 ),702330,(+/- 2808 ),671766,(+/- 7664 ),700239,(+/- 2263 ),724637,(+/- 4275 )
People,Place of Birth,Total population,711958,(+/- 2757 ),724060,(+/- 3598 ),740262,(+/- 2628 ),749049,(+/- 4989 ),768412,(+/- 8156 ),720656,(+/- 2663 ),751554,(+/- 7835 ),717028,(+/- 2312 ),750074,(+/- 4283 )
People,Place of Birth,Native,671537,(+/- 4631 ),681152,(+/- 5529 ),706771,(+/- 3647 ),705712,(+/- 6056 ),720545,(+/- 8811 ),700658,(+/- 3606 ),678330,(+/- 8774 ),699179,(+/- 3612 ),720000,(+/- 4950 )
People,Place of Birth,Born in United States,662663,(+/- 4866 ),675529,(+/- 5671 ),702672,(+/- 3806 ),702819,(+/- 6041 ),714857,(+/- 8884 ),698538,(+/- 3650 ),672215,(+/- 8807 ),695350,(+/- 3739 ),714938,(+/- 4836 )
People,Place of Birth,State of residence,423804,(+/- 10382 ),498520,(+/- 8350 ),516882,(+/- 7444 ),524292,(+/- 8350 ),499453,(+/- 9123 ),516983,(+/- 6626 ),513553,(+/- 9596 ),537471,(+/- 6476 ),493047,(+/- 8364 )
People,Place of Birth,Different state,238859,(+/- 9525 ),177009,(+/- 7155 ),185790,(+/- 7099 ),178527,(+/- 6294 ),215404,(+/- 7687 ),181555,(+/- 5799 ),158662,(+/- 7237 ),157879,(+/- 6613 ),221891,(+/- 7547 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",8874,(+/- 1880 ),5623,(+/- 1389 ),4099,(+/- 1048 ),2893,(+/- 1015 ),5688,(+/- 1405 ),2120,(+/- 848 ),6115,(+/- 1571 ),3829,(+/- 1109 ),5062,(+/- 1790 )
People,Place of Birth,Foreign born,40421,(+/- 3929 ),42908,(+/- 3792 ),33491,(+/- 2781 ),43337,(+/- 3500 ),47867,(+/- 4634 ),19998,(+/- 2418 ),73224,(+/- 5321 ),17849,(+/- 2618 ),30074,(+/- 2800 )
People,Ancestry,Total population,711958,(+/- 2757 ),724060,(+/- 3598 ),740262,(+/- 2628 ),749049,(+/- 4989 ),768412,(+/- 8156 ),720656,(+/- 2663 ),751554,(+/- 7835 ),717028,(+/- 2312 ),750074,(+/- 4283 )
People,Ancestry,American,21931,(+/- 3550 ),64459,(+/- 6407 ),52811,(+/- 5025 ),73041,(+/- 6198 ),79431,(+/- 6442 ),90123,(+/- 6375 ),50860,(+/- 6120 ),61789,(+/- 4628 ),71169,(+/- 5619 )
People,Ancestry,Arab,3374,(+/- 1790 ),2885,(+/- 1719 ),1821,(+/- 1378 ),2726,(+/- 1280 ),4551,(+/- 2344 ),394,(+/- 364 ),2045,(+/- 1218 ),3472,(+/- 2356 ),2658,(+/- 1325 )
People,Ancestry,Czech,4693,(+/- 1766 ),2371,(+/- 953 ),875,(+/- 427 ),2257,(+/- 1277 ),2884,(+/- 1015 ),985,(+/- 507 ),908,(+/- 448 ),1323,(+/- 871 ),1598,(+/- 635 )
People,Ancestry,Danish,1409,(+/- 583 ),1737,(+/- 1068 ),1069,(+/- 724 ),1765,(+/- 882 ),1421,(+/- 594 ),901,(+/- 463 ),1255,(+/- 593 ),220,(+/- 166 ),1545,(+/- 1117 )
People,Ancestry,Dutch,22802,(+/- 4453 ),19752,(+/- 3310 ),11499,(+/- 2066 ),18253,(+/- 2795 ),12780,(+/- 2785 ),8471,(+/- 1802 ),6007,(+/- 1515 ),10063,(+/- 2143 ),9343,(+/- 1916 )
People,Ancestry,English,40364,(+/- 3976 ),47755,(+/- 4536 ),54192,(+/- 4676 ),62045,(+/- 5223 ),72758,(+/- 5807 ),61349,(+/- 4357 ),40830,(+/- 3354 ),76239,(+/- 5241 ),79576,(+/- 5942 )
People,Ancestry,French (except Basque),12046,(+/- 1996 ),14806,(+/- 2421 ),22346,(+/- 2727 ),16847,(+/- 3095 ),15633,(+/- 2491 ),14643,(+/- 2447 ),10522,(+/- 2316 ),17923,(+/- 2161 ),16830,(+/- 2555 )
People,Ancestry,French Canadian,2278,(+/- 860 ),2939,(+/- 993 ),1585,(+/- 733 ),1274,(+/- 536 ),2747,(+/- 1301 ),783,(+/- 421 ),789,(+/- 395 ),1515,(+/- 551 ),1991,(+/- 981 )
People,Ancestry,German,139970,(+/- 7725 ),168266,(+/- 8388 ),207425,(+/- 9380 ),163955,(+/- 8312 ),168068,(+/- 7269 ),158316,(+/- 8240 ),108587,(+/- 6423 ),188626,(+/- 7243 ),154782,(+/- 7027 )
People,Ancestry,Greek,6592,(+/- 1618 ),1363,(+/- 561 ),1804,(+/- 837 ),1706,(+/- 622 ),2715,(+/- 1224 ),1275,(+/- 851 ),1220,(+/- 704 ),1174,(+/- 637 ),1528,(+/- 908 )
People,Ancestry,Hungarian,12206,(+/- 2634 ),9497,(+/- 1709 ),2044,(+/- 816 ),1935,(+/- 689 ),3428,(+/- 1082 ),1662,(+/- 1097 ),1348,(+/- 637 ),1552,(+/- 942 ),1838,(+/- 1105 )
People,Ancestry,Irish,90275,(+/- 6759 ),73084,(+/- 5625 ),71278,(+/- 5144 ),86521,(+/- 7083 ),85262,(+/- 6240 ),80959,(+/- 5800 ),60788,(+/- 5178 ),71118,(+/- 5759 ),91194,(+/- 6239 )
People,Ancestry,Italian,35936,(+/- 4035 ),19978,(+/- 2728 ),18293,(+/- 3031 ),18891,(+/- 2911 ),30297,(+/- 4449 ),13711,(+/- 2168 ),16419,(+/- 3055 ),11536,(+/- 1802 ),19240,(+/- 3346 )
People,Ancestry,Lithuanian,4609,(+/- 1450 ),998,(+/- 519 ),253,(+/- 214 ),684,(+/- 368 ),1339,(+/- 673 ),637,(+/- 612 ),787,(+/- 686 ),315,(+/- 231 ),423,(+/- 324 )
People,Ancestry,Norwegian,4607,(+/- 1271 ),5254,(+/- 1548 ),4056,(+/- 960 ),3332,(+/- 1023 ),6390,(+/- 1932 ),3237,(+/- 1293 ),3436,(+/- 1772 ),4163,(+/- 1276 ),3103,(+/- 1185 )
People,Ancestry,Polish,69809,(+/- 5919 ),37580,(+/- 3578 ),16841,(+/- 2537 ),18694,(+/- 3225 ),22124,(+/- 3534 ),8015,(+/- 2006 ),10619,(+/- 2241 ),7840,(+/- 2144 ),12344,(+/- 2253 )
People,Ancestry,Portuguese,376,(+/- 297 ),265,(+/- 225 ),79,(+/- 92 ),1213,(+/- 966 ),1000,(+/- 549 ),302,(+/- 285 ),750,(+/- 1155 ),871,(+/- 547 ),651,(+/- 534 )
People,Ancestry,Russian,6858,(+/- 2709 ),3083,(+/- 961 ),1519,(+/- 643 ),2503,(+/- 1003 ),3105,(+/- 1044 ),1144,(+/- 728 ),1781,(+/- 987 ),1371,(+/- 489 ),2316,(+/- 922 )
People,Ancestry,Scotch-Irish,4488,(+/- 1072 ),4312,(+/- 1195 ),4659,(+/- 1186 ),6564,(+/- 1307 ),8230,(+/- 1548 ),7577,(+/- 2049 ),5544,(+/- 1417 ),7539,(+/- 1490 ),9689,(+/- 1792 )
People,Ancestry,Scottish,8870,(+/- 2246 ),9223,(+/- 1619 ),13425,(+/- 2394 ),13074,(+/- 2265 ),20063,(+/- 3002 ),15138,(+/- 2283 ),7887,(+/- 1854 ),11697,(+/- 1934 ),17344,(+/- 2548 )
People,Ancestry,Slovak,9681,(+/- 1660 ),618,(+/- 355 ),836,(+/- 467 ),1014,(+/- 627 ),1639,(+/- 857 ),193,(+/- 256 ),183,(+/- 170 ),1075,(+/- 747 ),884,(+/- 488 )
People,Ancestry,Subsaharan African,2511,(+/- 1157 ),3472,(+/- 1443 ),4529,(+/- 3296 ),1290,(+/- 930 ),3516,(+/- 1204 ),2006,(+/- 885 ),30878,(+/- 7070 ),2869,(+/- 1429 ),2401,(+/- 1350 )
People,Ancestry,Swedish,14960,(+/- 3099 ),7219,(+/- 1445 ),4838,(+/- 1230 ),7119,(+/- 1589 ),8139,(+/- 2057 ),4477,(+/- 1662 ),3139,(+/- 895 ),4449,(+/- 1286 ),3990,(+/- 1206 )
People,Ancestry,Swiss,1840,(+/- 732 ),10786,(+/- 2223 ),11717,(+/- 2172 ),2986,(+/- 1255 ),3305,(+/- 979 ),1784,(+/- 929 ),1325,(+/- 651 ),2922,(+/- 1362 ),2996,(+/- 1208 )
People,Ancestry,Ukrainian,2375,(+/- 910 ),2033,(+/- 1513 ),883,(+/- 645 ),747,(+/- 500 ),1455,(+/- 844 ),498,(+/- 368 ),487,(+/- 391 ),1862,(+/- 2378 ),1059,(+/- 686 )
People,Ancestry,Welsh,2631,(+/- 957 ),2690,(+/- 856 ),2476,(+/- 603 ),4913,(+/- 1221 ),5970,(+/- 1313 ),3872,(+/- 947 ),3764,(+/- 1134 ),5231,(+/- 1339 ),5867,(+/- 1625 )
People,Ancestry,West Indian (excluding Hispanic origin groups),1066,(+/- 777 ),445,(+/- 554 ),590,(+/- 465 ),312,(+/- 348 ),1460,(+/- 1002 ),314,(+/- 175 ),1925,(+/- 922 ),1268,(+/- 783 ),517,(+/- 377 )
People,Veteran Status,Civilian population 18 years and over,545642,(+/- 2585 ),543263,(+/- 3415 ),549008,(+/- 2433 ),577519,(+/- 4052 ),581803,(+/- 6162 ),560990,(+/- 2259 ),555504,(+/- 5370 ),553477,(+/- 2323 ),584842,(+/- 3415 )
People,Veteran Status,Civilian veterans,41267,(+/- 2908 ),37825,(+/- 2434 ),41730,(+/- 2407 ),43985,(+/- 2581 ),40139,(+/- 3375 ),46460,(+/- 2835 ),39819,(+/- 2901 ),45631,(+/- 2397 ),44217,(+/- 3032 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,699434,(+/- 3118 ),714078,(+/- 4040 ),732466,(+/- 2980 ),735930,(+/- 5571 ),759877,(+/- 8679 ),708068,(+/- 3024 ),743154,(+/- 8062 ),700692,(+/- 3016 ),741215,(+/- 4618 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,91817,(+/- 4306 ),103144,(+/- 4632 ),100009,(+/- 4373 ),98137,(+/- 4400 ),89111,(+/- 5452 ),104134,(+/- 4121 ),105816,(+/- 5172 ),116605,(+/- 4937 ),100837,(+/- 4505 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,165528,(+/- 1405 ),179673,(+/- 1823 ),190606,(+/- 1403 ),170942,(+/- 2637 ),185942,(+/- 5028 ),158983,(+/- 1302 ),195091,(+/- 5023 ),162728,(+/- 1914 ),164432,(+/- 2440 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,5435,(+/- 1378 ),8384,(+/- 1609 ),7888,(+/- 1529 ),7636,(+/- 2066 ),7802,(+/- 1892 ),5756,(+/- 1200 ),9533,(+/- 2522 ),8815,(+/- 1577 ),7501,(+/- 1428 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,426886,(+/- 2721 ),426389,(+/- 3379 ),435685,(+/- 2517 ),458345,(+/- 3875 ),466821,(+/- 6433 ),431308,(+/- 2444 ),467891,(+/- 5621 ),423596,(+/- 2757 ),466790,(+/- 3353 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,47524,(+/- 3165 ),56130,(+/- 3766 ),54389,(+/- 3291 ),51123,(+/- 3463 ),42598,(+/- 3668 ),52961,(+/- 2939 ),63334,(+/- 3930 ),63366,(+/- 3627 ),54399,(+/- 3813 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,107020,(+/- 1635 ),108016,(+/- 2007 ),106175,(+/- 1334 ),106643,(+/- 2102 ),107114,(+/- 3358 ),117777,(+/- 1204 ),80172,(+/- 2576 ),114368,(+/- 1531 ),109993,(+/- 1512 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,38858,(+/- 2316 ),38630,(+/- 2337 ),37732,(+/- 2135 ),39378,(+/- 1980 ),38711,(+/- 2551 ),45417,(+/- 2329 ),32949,(+/- 2246 ),44424,(+/- 2343 ),38937,(+/- 2774 )
People,Residence 1 Year Ago,Population 1 year and over,704518,(+/- 2986 ),713957,(+/- 3772 ),730948,(+/- 2860 ),740009,(+/- 5401 ),759092,(+/- 8088 ),713314,(+/- 2906 ),741001,(+/- 7862 ),709176,(+/- 2465 ),742069,(+/- 4444 )
People,Residence 1 Year Ago,Same house,610556,(+/- 8313 ),619540,(+/- 7166 ),610880,(+/- 8610 ),600848,(+/- 10924 ),654113,(+/- 10245 ),609304,(+/- 8328 ),638582,(+/- 11903 ),604553,(+/- 7742 ),631714,(+/- 9457 )
People,Residence 1 Year Ago,Different house in the U.S.,91719,(+/- 7205 ),92906,(+/- 6455 ),118210,(+/- 7696 ),134686,(+/- 10491 ),100902,(+/- 7927 ),99559,(+/- 7891 ),98953,(+/- 9352 ),103525,(+/- 7062 ),106747,(+/- 8032 )
People,Residence 1 Year Ago,Same county,54985,(+/- 6599 ),58583,(+/- 5820 ),76606,(+/- 7264 ),71349,(+/- 7721 ),53577,(+/- 5843 ),59253,(+/- 6559 ),67716,(+/- 7887 ),55812,(+/- 5006 ),58815,(+/- 7141 )
People,Residence 1 Year Ago,Different county,36734,(+/- 5029 ),34323,(+/- 4447 ),41604,(+/- 4829 ),63337,(+/- 6825 ),47325,(+/- 5205 ),40306,(+/- 3824 ),31237,(+/- 4337 ),47713,(+/- 5656 ),47932,(+/- 4855 )
People,Residence 1 Year Ago,Same state,14577,(+/- 2626 ),21844,(+/- 3520 ),23592,(+/- 3209 ),43128,(+/- 5611 ),29701,(+/- 3320 ),26731,(+/- 3112 ),19543,(+/- 3559 ),33503,(+/- 3946 ),32110,(+/- 4089 )
People,Residence 1 Year Ago,Different state,22157,(+/- 3835 ),12479,(+/- 2541 ),18012,(+/- 3188 ),20209,(+/- 4350 ),17624,(+/- 3632 ),13575,(+/- 2511 ),11694,(+/- 2417 ),14210,(+/- 3789 ),15822,(+/- 2640 )
People,Residence 1 Year Ago,Abroad,2243,(+/- 885 ),1511,(+/- 526 ),1858,(+/- 1039 ),4475,(+/- 1365 ),4077,(+/- 2113 ),4451,(+/- 1611 ),3466,(+/- 1385 ),1098,(+/- 539 ),3608,(+/- 1409 )
Workers,Employment Status,Population 16 years and over,565916,(+/- 2806 ),563780,(+/- 3503 ),572478,(+/- 2867 ),599116,(+/- 4284 ),603069,(+/- 6403 ),581617,(+/- 2606 ),574848,(+/- 5952 ),572885,(+/- 2564 ),605788,(+/- 3771 )
Workers,Employment Status,In labor force,346589,(+/- 5440 ),354913,(+/- 5133 ),371895,(+/- 4455 ),379357,(+/- 5226 ),412641,(+/- 6961 ),353000,(+/- 4938 ),376391,(+/- 7163 ),355283,(+/- 4939 ),385634,(+/- 6180 )
Workers,Employment Status,Civilian labor force,346004,(+/- 5497 ),354288,(+/- 5162 ),371521,(+/- 4502 ),379225,(+/- 5208 ),412268,(+/- 6983 ),352789,(+/- 4951 ),376283,(+/- 7149 ),354823,(+/- 4949 ),385030,(+/- 6164 )
Workers,Employment Status,Employed,325472,(+/- 5906 ),332394,(+/- 5573 ),355122,(+/- 4637 ),360613,(+/- 5317 ),396922,(+/- 6787 ),336245,(+/- 4870 ),352020,(+/- 6995 ),339972,(+/- 5182 ),366256,(+/- 6193 )
Workers,Employment Status,Unemployed,20532,(+/- 2420 ),21894,(+/- 2550 ),16399,(+/- 2085 ),18612,(+/- 2233 ),15346,(+/- 2130 ),16544,(+/- 2031 ),24263,(+/- 2676 ),14851,(+/- 1680 ),18774,(+/- 2369 )
Workers,Employment Status,Armed Forces,585,(+/- 439 ),625,(+/- 430 ),374,(+/- 310 ),132,(+/- 112 ),373,(+/- 370 ),211,(+/- 189 ),108,(+/- 134 ),460,(+/- 210 ),604,(+/- 386 )
Workers,Employment Status,Not in labor force,219327,(+/- 6042 ),208867,(+/- 5015 ),200583,(+/- 4234 ),219759,(+/- 5779 ),190428,(+/- 5570 ),228617,(+/- 5534 ),198457,(+/- 5710 ),217602,(+/- 4815 ),220154,(+/- 6083 )
Workers,Employment Status,Civilian labor force,346004,(+/- 5497 ),354288,(+/- 5162 ),371521,(+/- 4502 ),379225,(+/- 5208 ),412268,(+/- 6983 ),352789,(+/- 4951 ),376283,(+/- 7149 ),354823,(+/- 4949 ),385030,(+/- 6164 )
Workers,Employment Status,Unemployment Rate,5.9,(+/- 0.7 ),6.2,(+/- 0.7 ),4.4,(+/- 0.6 ),4.9,(+/- 0.6 ),3.7,(+/- 0.5 ),4.7,(+/- 0.6 ),6.4,(+/- 0.7 ),4.2,(+/- 0.5 ),4.9,(+/- 0.6 )
Workers,Commuting to Work,Workers 16 years and over,318790,(+/- 5716 ),326310,(+/- 5804 ),348883,(+/- 4684 ),350868,(+/- 6368 ),392521,(+/- 6864 ),330353,(+/- 4788 ),347020,(+/- 7201 ),333100,(+/- 5478 ),359277,(+/- 6291 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",267763,(+/- 5537 ),265752,(+/- 6607 ),284572,(+/- 5800 ),291745,(+/- 6360 ),330614,(+/- 7030 ),278894,(+/- 5745 ),287900,(+/- 7462 ),282155,(+/- 5540 ),296669,(+/- 6608 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",24640,(+/- 2305 ),30002,(+/- 2965 ),36890,(+/- 3568 ),28980,(+/- 2921 ),26856,(+/- 3481 ),26690,(+/- 3385 ),31240,(+/- 3370 ),28469,(+/- 2661 ),31163,(+/- 3642 )
Workers,Commuting to Work,Public transportation (excluding taxicab),8224,(+/- 1380 ),3097,(+/- 973 ),1727,(+/- 663 ),3721,(+/- 1066 ),485,(+/- 345 ),1264,(+/- 586 ),6372,(+/- 1683 ),3071,(+/- 986 ),3482,(+/- 1021 )
Workers,Commuting to Work,Walked,4938,(+/- 1284 ),9073,(+/- 1600 ),5247,(+/- 1092 ),10020,(+/- 1620 ),5848,(+/- 1481 ),7931,(+/- 1495 ),6578,(+/- 1644 ),6913,(+/- 1498 ),9750,(+/- 1529 )
