Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE
People,Race,Some other race,46880,(+/- 6312 ),15854,(+/- 2618 ),37059,(+/- 5930 ),37276,(+/- 5286 ),33939,(+/- 5796 )
People,Race,Two or more races,23376,(+/- 3907 ),23950,(+/- 3455 ),21114,(+/- 3697 ),24763,(+/- 3646 ),18321,(+/- 3604 )
People,Hispanic or Latino and Race,Total population,712461,(+/- 7745 ),705034,(+/- 4948 ),717162,(+/- 6980 ),732469,(+/- 5162 ),709326,(+/- 8679 )
People,Hispanic or Latino and Race,Hispanic or Latino (of any race),119491,(+/- 4251 ),58604,(+/- 2615 ),110187,(+/- 5332 ),144971,(+/- 5398 ),129094,(+/- 6814 )
People,Hispanic or Latino and Race,Mexican,7780,(+/- 3424 ),4649,(+/- 1548 ),15143,(+/- 5272 ),25240,(+/- 5354 ),9043,(+/- 2279 )
People,Hispanic or Latino and Race,Puerto Rican,82080,(+/- 5773 ),35942,(+/- 3804 ),59301,(+/- 5882 ),43634,(+/- 5010 ),77288,(+/- 5986 )
People,Hispanic or Latino and Race,Cuban,1813,(+/- 1053 ),1813,(+/- 923 ),1282,(+/- 592 ),2729,(+/- 1068 ),3255,(+/- 1641 )
People,Hispanic or Latino and Race,Other Hispanic or Latino,27818,(+/- 5031 ),16200,(+/- 3422 ),34461,(+/- 4650 ),73368,(+/- 6741 ),39508,(+/- 5557 )
People,Hispanic or Latino and Race,Not Hispanic or Latino,592970,(+/- 8257 ),646430,(+/- 5590 ),606975,(+/- 8144 ),587498,(+/- 7722 ),580232,(+/- 10835 )
People,Place of Birth,Total population,712461,(+/- 7745 ),705034,(+/- 4948 ),717162,(+/- 6980 ),732469,(+/- 5162 ),709326,(+/- 8679 )
People,Place of Birth,Native,608027,(+/- 8297 ),653262,(+/- 5911 ),620017,(+/- 9031 ),568570,(+/- 8438 ),612526,(+/- 11290 )
People,Place of Birth,Born in United States,572221,(+/- 7568 ),636333,(+/- 6282 ),595368,(+/- 9645 ),547565,(+/- 8337 ),579198,(+/- 11708 )
People,Place of Birth,State of residence,419659,(+/- 8952 ),405416,(+/- 7988 ),439248,(+/- 9512 ),313016,(+/- 7002 ),397778,(+/- 12013 )
People,Place of Birth,Different state,152562,(+/- 5660 ),230917,(+/- 7460 ),156120,(+/- 7559 ),234549,(+/- 8016 ),181420,(+/- 6811 )
People,Place of Birth,"Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",35806,(+/- 3858 ),16929,(+/- 2604 ),24649,(+/- 3774 ),21005,(+/- 2742 ),33328,(+/- 3593 )
People,Place of Birth,Foreign born,104434,(+/- 6007 ),51772,(+/- 4363 ),97145,(+/- 6499 ),163899,(+/- 7119 ),96800,(+/- 7024 )
People,Ancestry,Total population,712461,(+/- 7745 ),705034,(+/- 4948 ),717162,(+/- 6980 ),732469,(+/- 5162 ),709326,(+/- 8679 )
People,Ancestry,American,29607,(+/- 3631 ),33245,(+/- 3408 ),21426,(+/- 3203 ),30364,(+/- 4217 ),23459,(+/- 3002 )
People,Ancestry,Arab,3659,(+/- 1304 ),3355,(+/- 1142 ),7505,(+/- 2378 ),6715,(+/- 2576 ),3366,(+/- 1309 )
People,Ancestry,Czech,1899,(+/- 780 ),4745,(+/- 2069 ),1301,(+/- 535 ),2371,(+/- 883 ),1885,(+/- 859 )
People,Ancestry,Danish,2849,(+/- 1925 ),2091,(+/- 877 ),2565,(+/- 891 ),3164,(+/- 1085 ),2857,(+/- 899 )
People,Ancestry,Dutch,5142,(+/- 1473 ),6597,(+/- 1701 ),4252,(+/- 999 ),3961,(+/- 1075 ),5845,(+/- 1209 )
People,Ancestry,English,51752,(+/- 4440 ),83467,(+/- 5328 ),49913,(+/- 3970 ),53453,(+/- 3830 ),63797,(+/- 4352 )
People,Ancestry,French (except Basque),40580,(+/- 4483 ),68077,(+/- 6101 ),20623,(+/- 2535 ),14920,(+/- 2845 ),37977,(+/- 4198 )
People,Ancestry,French Canadian,22139,(+/- 2538 ),37639,(+/- 4061 ),10588,(+/- 1994 ),7581,(+/- 1320 ),15959,(+/- 2122 )
People,Ancestry,German,53720,(+/- 4725 ),79828,(+/- 5179 ),53438,(+/- 4229 ),62120,(+/- 6189 ),74848,(+/- 5667 )
People,Ancestry,Greek,5288,(+/- 1622 ),6628,(+/- 2005 ),5982,(+/- 2341 ),10940,(+/- 3464 ),5419,(+/- 1581 )
People,Ancestry,Hungarian,3993,(+/- 1188 ),4421,(+/- 1599 ),8754,(+/- 1774 ),8917,(+/- 1843 ),5490,(+/- 1379 )
People,Ancestry,Irish,100429,(+/- 6767 ),128349,(+/- 7623 ),108072,(+/- 5944 ),96013,(+/- 5872 ),107039,(+/- 5782 )
People,Ancestry,Italian,107096,(+/- 6732 ),102147,(+/- 5631 ),152103,(+/- 8286 ),117829,(+/- 6415 ),123516,(+/- 6881 )
People,Ancestry,Lithuanian,6398,(+/- 1561 ),5330,(+/- 1382 ),3631,(+/- 799 ),3509,(+/- 1017 ),7891,(+/- 2045 )
People,Ancestry,Norwegian,2823,(+/- 995 ),3877,(+/- 918 ),2955,(+/- 979 ),4778,(+/- 1324 ),3335,(+/- 940 )
People,Ancestry,Polish,58715,(+/- 5288 ),61122,(+/- 4735 ),47068,(+/- 4074 ),37507,(+/- 4389 ),56314,(+/- 5768 )
People,Ancestry,Portuguese,11606,(+/- 2836 ),10974,(+/- 2095 ),7488,(+/- 1824 ),6412,(+/- 1677 ),11368,(+/- 2304 )
People,Ancestry,Russian,9522,(+/- 1976 ),8082,(+/- 1386 ),13761,(+/- 2756 ),16787,(+/- 2647 ),10727,(+/- 2091 )
People,Ancestry,Scotch-Irish,4196,(+/- 1283 ),4730,(+/- 1345 ),3157,(+/- 993 ),4264,(+/- 1082 ),4261,(+/- 1316 )
People,Ancestry,Scottish,13148,(+/- 2055 ),18149,(+/- 2634 ),10760,(+/- 1888 ),13831,(+/- 2333 ),11950,(+/- 2102 )
People,Ancestry,Slovak,2018,(+/- 932 ),1881,(+/- 522 ),4093,(+/- 987 ),6903,(+/- 1757 ),3568,(+/- 1261 )
People,Ancestry,Subsaharan African,10412,(+/- 3737 ),2478,(+/- 933 ),12237,(+/- 3276 ),13174,(+/- 3540 ),4025,(+/- 2314 )
People,Ancestry,Swedish,10952,(+/- 2348 ),11931,(+/- 1923 ),9863,(+/- 2230 ),8724,(+/- 1777 ),12571,(+/- 2342 )
People,Ancestry,Swiss,468,(+/- 382 ),3433,(+/- 1674 ),911,(+/- 539 ),2218,(+/- 803 ),1563,(+/- 609 )
People,Ancestry,Ukrainian,3660,(+/- 1076 ),3875,(+/- 1125 ),4050,(+/- 1249 ),4867,(+/- 1528 ),4511,(+/- 1811 )
People,Ancestry,Welsh,2269,(+/- 799 ),5321,(+/- 1415 ),1652,(+/- 553 ),2875,(+/- 746 ),3175,(+/- 804 )
People,Ancestry,West Indian (excluding Hispanic origin groups),32753,(+/- 4629 ),6950,(+/- 2431 ),14315,(+/- 3021 ),32045,(+/- 4979 ),10664,(+/- 3359 )
People,Veteran Status,Civilian population 18 years and over,556347,(+/- 6541 ),563109,(+/- 4027 ),575274,(+/- 5565 ),560223,(+/- 4203 ),561376,(+/- 7899 )
People,Veteran Status,Civilian veterans,32724,(+/- 2231 ),50568,(+/- 3397 ),34074,(+/- 2148 ),21879,(+/- 1775 ),31634,(+/- 2205 )
People,Disability Status of the Civilian Noninstitutionalized Population,Total civilian noninstitutionalized population,705206,(+/- 7791 ),682520,(+/- 5261 ),710546,(+/- 6864 ),726882,(+/- 5105 ),700000,(+/- 8824 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,85751,(+/- 4467 ),81270,(+/- 3922 ),78686,(+/- 4279 ),68345,(+/- 4279 ),81084,(+/- 4030 )
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,155710,(+/- 4156 ),135003,(+/- 3082 ),141501,(+/- 4603 ),172088,(+/- 3609 ),147157,(+/- 5876 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6586,(+/- 1460 ),4021,(+/- 857 ),4467,(+/- 1039 ),6034,(+/- 1341 ),6259,(+/- 1526 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,439113,(+/- 6786 ),432980,(+/- 4119 ),459320,(+/- 5255 ),453088,(+/- 4168 ),432933,(+/- 7753 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,42908,(+/- 3739 ),39841,(+/- 3108 ),39638,(+/- 3203 ),32852,(+/- 3545 ),36448,(+/- 3210 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,110383,(+/- 3142 ),114537,(+/- 2503 ),109725,(+/- 3293 ),101706,(+/- 3004 ),119910,(+/- 4536 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,36257,(+/- 2427 ),37408,(+/- 2343 ),34581,(+/- 2269 ),29459,(+/- 2121 ),38377,(+/- 2437 )
People,Residence 1 Year Ago,Population 1 year and over,706621,(+/- 7719 ),699357,(+/- 4841 ),711617,(+/- 6989 ),723434,(+/- 5081 ),700729,(+/- 8804 )
People,Residence 1 Year Ago,Same house,620258,(+/- 9305 ),612000,(+/- 8299 ),624462,(+/- 10000 ),631699,(+/- 8672 ),628021,(+/- 10301 )
People,Residence 1 Year Ago,Different house in the U.S.,80533,(+/- 6595 ),84447,(+/- 7310 ),80810,(+/- 6854 ),84182,(+/- 7050 ),68930,(+/- 7457 )
People,Residence 1 Year Ago,Same county,53486,(+/- 5698 ),43122,(+/- 5509 ),56104,(+/- 6059 ),59539,(+/- 5418 ),44462,(+/- 6345 )
People,Residence 1 Year Ago,Different county,27047,(+/- 3792 ),41325,(+/- 4773 ),24706,(+/- 3436 ),24643,(+/- 4162 ),24468,(+/- 3420 )
People,Residence 1 Year Ago,Same state,14782,(+/- 3490 ),22755,(+/- 3175 ),11634,(+/- 2374 ),5513,(+/- 1863 ),11919,(+/- 2349 )
People,Residence 1 Year Ago,Different state,12265,(+/- 2414 ),18570,(+/- 3308 ),13072,(+/- 2487 ),19130,(+/- 3631 ),12549,(+/- 2659 )
People,Residence 1 Year Ago,Abroad,5830,(+/- 1658 ),2910,(+/- 1729 ),6345,(+/- 1844 ),7553,(+/- 2370 ),3778,(+/- 1410 )
Workers,Employment Status,Population 16 years and over,576234,(+/- 6892 ),587325,(+/- 4150 ),595159,(+/- 5854 ),580323,(+/- 4412 ),580637,(+/- 7890 )
Workers,Employment Status,In labor force,381353,(+/- 7012 ),392543,(+/- 5527 ),396169,(+/- 6670 ),394315,(+/- 5519 ),379234,(+/- 7828 )
Workers,Employment Status,Civilian labor force,381084,(+/- 6970 ),385727,(+/- 5737 ),395819,(+/- 6707 ),394224,(+/- 5509 ),378799,(+/- 7898 )
Workers,Employment Status,Employed,357910,(+/- 7358 ),362276,(+/- 6092 ),369747,(+/- 6324 ),365249,(+/- 6073 ),356587,(+/- 7530 )
Workers,Employment Status,Unemployed,23174,(+/- 2428 ),23451,(+/- 2772 ),26072,(+/- 2619 ),28975,(+/- 3201 ),22212,(+/- 2600 )
Workers,Employment Status,Armed Forces,269,(+/- 246 ),6816,(+/- 982 ),350,(+/- 286 ),91,(+/- 150 ),435,(+/- 323 )
Workers,Employment Status,Not in labor force,194881,(+/- 5936 ),194782,(+/- 5359 ),198990,(+/- 6516 ),186008,(+/- 5744 ),201403,(+/- 5268 )
Workers,Employment Status,Civilian labor force,381084,(+/- 6970 ),385727,(+/- 5737 ),395819,(+/- 6707 ),394224,(+/- 5509 ),378799,(+/- 7898 )
Workers,Employment Status,Unemployment Rate,6.1,(+/- 0.6 ),6.1,(+/- 0.7 ),6.6,(+/- 0.6 ),7.3,(+/- 0.8 ),5.9,(+/- 0.7 )
Workers,Commuting to Work,Workers 16 years and over,352222,(+/- 7329 ),360921,(+/- 5911 ),363632,(+/- 6306 ),357292,(+/- 5996 ),350869,(+/- 7530 )
Workers,Commuting to Work,"Car, truck, or van -- drove alone",278854,(+/- 6175 ),292225,(+/- 6391 ),281659,(+/- 6953 ),249386,(+/- 6466 ),285116,(+/- 7604 )
Workers,Commuting to Work,"Car, truck, or van -- carpooled",32650,(+/- 3973 ),28141,(+/- 2971 ),28118,(+/- 3632 ),27189,(+/- 2782 ),30116,(+/- 3151 )
Workers,Commuting to Work,Public transportation (excluding taxicab),13549,(+/- 2468 ),5363,(+/- 1248 ),16889,(+/- 2446 ),43801,(+/- 3468 ),8560,(+/- 1525 )
Workers,Commuting to Work,Walked,8149,(+/- 1503 ),9649,(+/- 1760 ),14199,(+/- 2078 ),10748,(+/- 2501 ),6151,(+/- 1485 )
Workers,Commuting to Work,Other means,3973,(+/- 1128 ),4586,(+/- 1214 ),5268,(+/- 1235 ),3541,(+/- 1047 ),3925,(+/- 1111 )
Workers,Commuting to Work,Worked at home,15047,(+/- 2139 ),20957,(+/- 2248 ),17499,(+/- 2449 ),22627,(+/- 2017 ),17001,(+/- 2284 )
Workers,Commuting to Work,Mean travel time to work (minutes),24.0,(+/- 0.5 ),26.1,(+/- 0.6 ),24.8,(+/- 0.7 ),30.5,(+/- 0.8 ),26.1,(+/- 0.7 )
Workers,Occupation,Civilian employed population 16 years and over,357910,(+/- 7358 ),362276,(+/- 6092 ),369747,(+/- 6324 ),365249,(+/- 6073 ),356587,(+/- 7530 )
Workers,Occupation,"Management, business, science, and arts occupations",151635,(+/- 5974 ),148937,(+/- 5652 ),155802,(+/- 5023 ),166719,(+/- 5823 ),152806,(+/- 5203 )
Workers,Occupation,Service occupations,63813,(+/- 4328 ),68415,(+/- 4104 ),69778,(+/- 4699 ),68501,(+/- 4272 ),59028,(+/- 4245 )
Workers,Occupation,Sales and office occupations,87708,(+/- 4767 ),81954,(+/- 4479 ),84587,(+/- 5183 ),79431,(+/- 4179 ),77203,(+/- 4628 )
Workers,Occupation,"Natural resources, construction, and maintenance occupations",21246,(+/- 2475 ),30020,(+/- 2864 ),25134,(+/- 2579 ),23594,(+/- 3155 ),28640,(+/- 2990 )
Workers,Occupation,"Production, transportation, and material moving occupations",33508,(+/- 2918 ),32950,(+/- 2823 ),34446,(+/- 3643 ),27004,(+/- 3026 ),38910,(+/- 3748 )
Workers,Industry,Civilian employed population 16 years and over,357910,(+/- 7358 ),362276,(+/- 6092 ),369747,(+/- 6324 ),365249,(+/- 6073 ),356587,(+/- 7530 )
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",742,(+/- 394 ),2642,(+/- 1010 ),505,(+/- 344 ),1096,(+/- 577 ),1471,(+/- 507 )
Workers,Industry,Construction,18063,(+/- 2355 ),22980,(+/- 2930 ),18140,(+/- 2598 ),23666,(+/- 3443 ),23863,(+/- 2726 )
Workers,Industry,Manufacturing,36192,(+/- 3478 ),42959,(+/- 3582 ),39335,(+/- 3607 ),25938,(+/- 2588 ),43751,(+/- 3820 )
Workers,Industry,Wholesale trade,9199,(+/- 1680 ),9706,(+/- 1844 ),7478,(+/- 1292 ),9165,(+/- 1509 ),9829,(+/- 1796 )
Workers,Industry,Retail trade,38161,(+/- 3855 ),40126,(+/- 2903 ),38854,(+/- 3727 ),36988,(+/- 3331 ),39037,(+/- 3102 )
Workers,Industry,"Transportation and warehousing, and utilities",13882,(+/- 1858 ),12904,(+/- 1691 ),12612,(+/- 1810 ),13794,(+/- 2144 ),11092,(+/- 1728 )
Workers,Industry,Information,7211,(+/- 1594 ),6261,(+/- 1359 ),8442,(+/- 1386 ),9945,(+/- 1762 ),9925,(+/- 1558 )
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",39799,(+/- 2894 ),24900,(+/- 2630 ),23360,(+/- 2988 ),44686,(+/- 3287 ),27569,(+/- 2393 )
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",39496,(+/- 3247 ),33226,(+/- 2727 ),42610,(+/- 3287 ),59915,(+/- 3680 ),40627,(+/- 3597 )
Workers,Industry,"Educational services, and health care and social assistance",94049,(+/- 4403 ),94026,(+/- 4392 ),117098,(+/- 4549 ),82553,(+/- 3781 ),94395,(+/- 4472 )
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",26581,(+/- 2838 ),43285,(+/- 3263 ),28861,(+/- 3505 ),30216,(+/- 3201 ),24200,(+/- 2559 )
Workers,Industry,"Other services, except public administration",18754,(+/- 2329 ),15716,(+/- 2305 ),17922,(+/- 2311 ),19342,(+/- 2424 ),17532,(+/- 2332 )
Workers,Industry,Public administration,15781,(+/- 1570 ),13545,(+/- 1838 ),14530,(+/- 2056 ),7945,(+/- 1213 ),13296,(+/- 1771 )
Workers,Class of Worker,Civilian employed population 16 years and over,357910,(+/- 7358 ),362276,(+/- 6092 ),369747,(+/- 6324 ),365249,(+/- 6073 ),356587,(+/- 7530 )
Workers,Class of Worker,Private wage and salary workers,286126,(+/- 7050 ),288101,(+/- 5559 ),302167,(+/- 6603 ),298931,(+/- 6976 ),285717,(+/- 7258 )
Workers,Class of Worker,Government workers,51371,(+/- 3662 ),52215,(+/- 3626 ),47507,(+/- 3406 ),33654,(+/- 2764 ),45335,(+/- 3375 )
Workers,Class of Worker,Self-employed in own not incorporated business workers,19706,(+/- 2496 ),21479,(+/- 2429 ),19960,(+/- 1997 ),32058,(+/- 2915 ),24803,(+/- 3166 )
Workers,Class of Worker,Unpaid family workers,707,(+/- 448 ),481,(+/- 483 ),113,(+/- 138 ),606,(+/- 455 ),732,(+/- 648 )
Housing,Housing Occupancy,Total housing units,297969,(+/- 3463 ),303543,(+/- 2704 ),301707,(+/- 4231 ),283280,(+/- 2767 ),312646,(+/- 5007 )
Housing,Housing Occupancy,Occupied housing units,277215,(+/- 3746 ),268254,(+/- 3685 ),274137,(+/- 4692 ),258126,(+/- 3763 ),279537,(+/- 4374 )
Housing,Housing Occupancy,Vacant housing units,20754,(+/- 2566 ),35289,(+/- 3484 ),27570,(+/- 3427 ),25154,(+/- 2886 ),33109,(+/- 3347 )
Housing,Housing Occupancy,Homeowner vacancy rate,1.2,(+/- 0.4 ),2.8,(+/- 0.8 ),2.4,(+/- 0.8 ),2.0,(+/- 0.7 ),2.2,(+/- 0.7 )
Housing,Housing Occupancy,Rental vacancy rate,4.9,(+/- 1.2 ),4.7,(+/- 1.5 ),7.8,(+/- 1.9 ),5.0,(+/- 1.2 ),5.0,(+/- 1.0 )
Housing,Housing Tenure,Occupied housing units,277215,(+/- 3746 ),268254,(+/- 3685 ),274137,(+/- 4692 ),258126,(+/- 3763 ),279537,(+/- 4374 )
Housing,Housing Tenure,Owner-occupied,174346,(+/- 3610 ),189238,(+/- 3804 ),168073,(+/- 4663 ),166100,(+/- 4494 ),181316,(+/- 4649 )
Housing,Housing Tenure,Renter-occupied,102869,(+/- 3880 ),79016,(+/- 4227 ),106064,(+/- 4474 ),92026,(+/- 4574 ),98221,(+/- 4220 )
Housing,Housing Tenure,Average household size of owner-occupied unit,2.67,(+/- 0.05 ),2.62,(+/- 0.04 ),2.68,(+/- 0.06 ),2.89,(+/- 0.05 ),2.59,(+/- 0.05 )
Housing,Housing Tenure,Average household size of renter-occupied unit,2.24,(+/- 0.08 ),2.15,(+/- 0.08 ),2.27,(+/- 0.07 ),2.60,(+/- 0.09 ),2.27,(+/- 0.08 )
Housing,Year Householder Moved into Unit,Occupied housing units,277215,(+/- 3746 ),268254,(+/- 3685 ),274137,(+/- 4692 ),258126,(+/- 3763 ),279537,(+/- 4374 )
Housing,Year Householder Moved into Unit,Moved in 2015 or later,45980,(+/- 3051 ),37796,(+/- 2947 ),48667,(+/- 3378 ),43584,(+/- 3158 ),42313,(+/- 2869 )
Housing,Year Householder Moved into Unit,Moved in 2010 to 2014,71700,(+/- 3902 ),62831,(+/- 3657 ),70538,(+/- 4312 ),67871,(+/- 3455 ),73069,(+/- 3590 )
Housing,Year Householder Moved into Unit,Moved in 2000 to 2009,73267,(+/- 3820 ),70410,(+/- 4337 ),70925,(+/- 3251 ),67309,(+/- 3647 ),76442,(+/- 3869 )
Housing,Year Householder Moved into Unit,Moved in 1990 to 1999,40628,(+/- 2663 ),44609,(+/- 2949 ),35442,(+/- 2644 ),38421,(+/- 2323 ),38316,(+/- 2969 )
Housing,Year Householder Moved into Unit,Moved in 1980 to 1989,20344,(+/- 1799 ),25280,(+/- 1958 ),21151,(+/- 1939 ),18384,(+/- 1713 ),23108,(+/- 2065 )
Housing,Year Householder Moved into Unit,Moved in 1979 and earlier,25296,(+/- 1690 ),27328,(+/- 1800 ),27414,(+/- 2029 ),22557,(+/- 2224 ),26289,(+/- 2056 )
Housing,Value,Owner-occupied units,174346,(+/- 3610 ),189238,(+/- 3804 ),168073,(+/- 4663 ),166100,(+/- 4494 ),181316,(+/- 4649 )
Housing,Value,"Less than $50,000",2475,(+/- 588 ),4892,(+/- 934 ),4194,(+/- 898 ),2233,(+/- 611 ),2707,(+/- 597 )
Housing,Value,"$50,000 to $99,999",6335,(+/- 1214 ),5056,(+/- 1131 ),6322,(+/- 1181 ),2745,(+/- 700 ),8604,(+/- 1336 )
Housing,Value,"$100,000 to $149,999",20377,(+/- 1833 ),19201,(+/- 1771 ),16483,(+/- 1667 ),4309,(+/- 931 ),19756,(+/- 1742 )
Housing,Value,"$150,000 to $199,999",34135,(+/- 2662 ),34628,(+/- 2843 ),28236,(+/- 2361 ),8631,(+/- 1498 ),27295,(+/- 2370 )
Housing,Value,"$200,000 to $299,999",60083,(+/- 2962 ),60468,(+/- 3372 ),50217,(+/- 3246 ),19047,(+/- 2260 ),47270,(+/- 2954 )
Housing,Value,"$300,000 to $499,999",39901,(+/- 2294 ),50556,(+/- 2743 ),47660,(+/- 2983 ),47532,(+/- 3128 ),53549,(+/- 2421 )
Housing,Value,"$500,000 to $999,999",10092,(+/- 1193 ),12066,(+/- 1421 ),13107,(+/- 1591 ),49858,(+/- 2125 ),19124,(+/- 1966 )
Housing,Value,"$1,000,000 or more",948,(+/- 321 ),2371,(+/- 522 ),1854,(+/- 612 ),31745,(+/- 1796 ),3011,(+/- 694 )
Housing,Value,Median (dollars),234700,(+/- 3622 ),246600,(+/- 4374 ),256900,(+/- 4568 ),492600,(+/- 11922 ),267100,(+/- 6317 )
Housing,Mortgage Status,Owner-occupied units,174346,(+/- 3610 ),189238,(+/- 3804 ),168073,(+/- 4663 ),166100,(+/- 4494 ),181316,(+/- 4649 )
Housing,Mortgage Status,Housing units with a mortgage,117319,(+/- 3532 ),124248,(+/- 4049 ),115697,(+/- 4103 ),117612,(+/- 4304 ),122300,(+/- 3947 )
Housing,Mortgage Status,Housing units without a mortgage,57027,(+/- 2717 ),64990,(+/- 2964 ),52376,(+/- 2975 ),48488,(+/- 2604 ),59016,(+/- 3701 )
Housing,Selected Monthly Owner Costs(SMOC),Housing units with a mortgage,117319,(+/- 3532 ),124248,(+/- 4049 ),115697,(+/- 4103 ),117612,(+/- 4304 ),122300,(+/- 3947 )
Housing,Selected Monthly Owner Costs(SMOC),Less than $500,141,(+/- 155 ),170,(+/- 147 ),35,(+/- 59 ),234,(+/- 211 ),168,(+/- 158 )
Housing,Selected Monthly Owner Costs(SMOC),$500 to $999,5880,(+/- 1079 ),7694,(+/- 1082 ),4467,(+/- 916 ),1711,(+/- 471 ),7027,(+/- 1324 )
